point_id,name,lat,lng,dx,dy,dz,shift_h_mm
940001,稚内（北海道）,45.4156,141.6731,0.82,1.26,2.3,1.5
020882,札幌２（北海道）,43.125,141.235,-1.42,-1.51,0.5,2.1
940010,釧路市（北海道）,42.9847,144.3814,1.08,1.8,-0.2,2.1
940002,興部（北海道）,44.4711,143.1389,-1.5,-1.34,1.4,2.0
020885,北海道日高（北海道）,42.483,142.541,-1.08,0.8,0.7,1.3
950150,青森（青森）,40.8244,140.74,-0.2,1.08,1.1,1.1
950152,盛岡（岩手）,39.7036,141.1525,1.24,1.36,-1.6,1.8
950154,仙台（宮城）,38.2688,140.8721,-0.54,0.51,2.3,0.7
950153,秋田（秋田）,39.7186,140.1025,-1.39,1.88,0.2,2.3
950156,山形（山形）,38.2404,140.3633,-0.99,-0.07,-0.1,1.0
950167,福島（福島）,37.7608,140.4747,1.21,-1.65,-1.6,2.0
950212,水戸（茨城）,36.3417,140.4467,1.72,-1.82,0.4,2.5
950214,宇都宮（栃木）,36.5658,139.8836,-1.33,-0.05,2.0,1.3
950216,前橋（群馬）,36.3894,139.0633,0.45,-1.19,-2.7,1.3
950219,さいたま（埼玉）,35.8569,139.6489,0.34,-0.1,0.8,0.4
950222,千葉（千葉）,35.605,140.1233,1.03,-0.57,2.0,1.2
940042,足立（東京）,35.775,139.8044,-1.45,-0.47,-0.6,1.5
950225,横浜（神奈川）,35.4439,139.6381,0.7,0.61,-0.2,0.9
950228,新潟（新潟）,37.9022,139.0232,-1.35,1.92,-1.4,2.3
950247,富山（富山）,36.6953,137.2114,-1.85,0.48,-1.3,1.9
950253,輪島/金沢（石川）,37.3934,136.8993,-0.99,-1.22,0.6,1.6
950256,福井（福井）,36.0652,136.2217,-0.59,-0.52,2.7,0.8
950232,甲府（山梨）,35.6639,138.5683,-0.28,-1.21,0.8,1.2
950235,長野（長野）,36.6513,138.1811,0.33,1.28,2.5,1.3
950238,岐阜（岐阜）,35.4233,136.7606,-0.19,0.04,1.2,0.2
950241,静岡（静岡）,35.1613,138.6763,-0.14,-1.25,0.7,1.3
950322,名古屋（愛知）,35.1815,136.9064,1.04,0.91,-0.6,1.4
950338,津（三重）,34.7303,136.5086,-1.12,0.41,1.5,1.2
950340,大津（滋賀）,35.0044,135.8686,1.37,-1.82,0.6,2.3
950341,京都（京都）,35.4746,135.3854,-0.85,1.38,-2.3,1.6
950346,大阪（大阪）,34.6864,135.52,0.14,0.25,-2.2,0.3
950349,神戸（兵庫）,34.6914,135.1831,1.67,1.88,0.4,2.5
950352,奈良（奈良）,34.6853,135.8328,0.46,0.38,1.6,0.6
950355,和歌山（和歌山）,34.2261,135.1675,-0.65,-0.02,-2.5,0.7
950381,鳥取（鳥取）,35.5011,134.2351,1.46,0.23,-1.9,1.5
950383,松江（島根）,35.4722,133.0506,-1.96,-0.1,0.1,2.0
950385,岡山（岡山）,34.6617,133.935,0.81,-0.11,0.1,0.8
950387,広島（広島）,34.3964,132.4594,0.49,-0.27,1.1,0.6
950390,山口（山口）,34.1783,131.4736,1.0,-0.36,1.1,1.1
950468,徳島（徳島）,33.6125,134.3541,1.81,1.67,-1.0,2.5
950458,高松（香川）,34.3403,134.0433,0.47,-0.11,-1.1,0.5
950460,松山（愛媛）,33.8417,132.7661,-0.23,0.83,1.6,0.9
950462,高知（高知）,33.2478,134.175,-0.32,1.29,2.5,1.3
950473,福岡（福岡）,33.6067,130.4183,-1.21,1.78,1.3,2.2
950475,佐賀（佐賀）,33.2494,130.2989,-1.77,-0.23,2.2,1.8
950477,長崎（長崎）,32.7447,129.8736,-0.36,1.35,-0.5,1.4
950479,熊本（熊本）,32.7897,130.7417,1.52,-1.48,1.8,2.1
950481,大分（大分）,33.2381,131.6125,-0.82,-1.62,-2.8,1.8
950480,宮崎（宮崎）,31.9111,131.4239,-1.53,0.68,2.1,1.7
950482,鹿児島（鹿児島）,31.5969,130.5571,-1.98,1.26,2.5,2.3
950495,那覇/石垣（沖縄）,26.2125,127.6811,1.8,-0.19,1.4,1.8
